celllines
ACH-000181	SCC9_UPPER_AERODIGESTIVE_TRACT
ACH-000188	SCC25_UPPER_AERODIGESTIVE_TRACT
ACH-000254	SCC15_UPPER_AERODIGESTIVE_TRACT
ACH-000472	HSC2_UPPER_AERODIGESTIVE_TRACT
ACH-000546	HSC4_UPPER_AERODIGESTIVE_TRACT
ACH-000682	SNU1066_UPPER_AERODIGESTIVE_TRACT
ACH-000762	YD38_UPPER_AERODIGESTIVE_TRACT
ACH-000778	HSC3_UPPER_AERODIGESTIVE_TRACT
ACH-000832	CAL27_UPPER_AERODIGESTIVE_TRACT
ACH-000846	FADU_UPPER_AERODIGESTIVE_TRACT
ACH-000992	BICR18_UPPER_AERODIGESTIVE_TRACT
ACH-001385	RPMI2650_UPPER_AERODIGESTIVE_TRACT
ACH-001542	KON_UPPER_AERODIGESTIVE_TRACT
ACH-001625	OSC19_UPPER_AERODIGESTIVE_TRACT
ACH-001626	OSC20_UPPER_AERODIGESTIVE_TRACT
ACH-001641	SAT_UPPER_AERODIGESTIVE_TRACT
ACH-002212	BB30HNC_UPPER_AERODIGESTIVE_TRACT
ACH-002213	BB49HNC_UPPER_AERODIGESTIVE_TRACT
ACH-002260	KOSC2_UPPER_AERODIGESTIVE_TRACT
ACH-002265	LB771HNC_UPPER_AERODIGESTIVE_TRACT
ACH-002294	PCI15A_UPPER_AERODIGESTIVE_TRACT
ACH-002295	PCI30_UPPER_AERODIGESTIVE_TRACT
ACH-002296	PCI38_UPPER_AERODIGESTIVE_TRACT
ACH-002298	PCI6A_UPPER_AERODIGESTIVE_TRACT
ACH-002305	SKN3_UPPER_AERODIGESTIVE_TRACT
ACH-000606	PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT
ACH-001346	H103_UPPER_AERODIGESTIVE_TRACT
ACH-000618	SNU1041_UPPER_AERODIGESTIVE_TRACT
ACH-002391	UDSCC2_UPPER_AERODIGESTIVE_TRACT
ACH-000500	SNU46_UPPER_AERODIGESTIVE_TRACT
ACH-000549	SNU1076_UPPER_AERODIGESTIVE_TRACT
ACH-000692	SNU899_UPPER_AERODIGESTIVE_TRACT
ACH-000715	SNU1214_UPPER_AERODIGESTIVE_TRACT
ACH-002249	JHU011_UPPER_AERODIGESTIVE_TRACT
ACH-002251	JHU029_UPPER_AERODIGESTIVE_TRACT
ACH-002297	PCI4B_UPPER_AERODIGESTIVE_TRACT
ACH-000228	BICR31_UPPER_AERODIGESTIVE_TRACT
ACH-000238	SCC4_UPPER_AERODIGESTIVE_TRACT
ACH-000415	BICR6_UPPER_AERODIGESTIVE_TRACT
ACH-000503	BICR16_UPPER_AERODIGESTIVE_TRACT
ACH-000518	CAL33_UPPER_AERODIGESTIVE_TRACT
ACH-000548	BHY_UPPER_AERODIGESTIVE_TRACT
ACH-000619	PECAPJ15_UPPER_AERODIGESTIVE_TRACT
ACH-000732	PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT
ACH-000735	PECAPJ49_UPPER_AERODIGESTIVE_TRACT
ACH-000771	BICR56_UPPER_AERODIGESTIVE_TRACT
ACH-000794	BICR22_UPPER_AERODIGESTIVE_TRACT
ACH-001090	HN_UPPER_AERODIGESTIVE_TRACT
ACH-001227	UPCISCC090_UPPER_AERODIGESTIVE_TRACT
ACH-001228	UPCISCC152_UPPER_AERODIGESTIVE_TRACT
ACH-001331	BICR10_UPPER_AERODIGESTIVE_TRACT
ACH-001332	BICR78_UPPER_AERODIGESTIVE_TRACT
ACH-002045	HO1U1_UPPER_AERODIGESTIVE_TRACT
ACH-002244	HO1N1_UPPER_AERODIGESTIVE_TRACT
ACH-002250	JHU022_UPPER_AERODIGESTIVE_TRACT
ACH-000740	A253_SALIVARY_GLAND
ACH-000630	YD8_UPPER_AERODIGESTIVE_TRACT
ACH-000723	YD10B_UPPER_AERODIGESTIVE_TRACT
ACH-001509	H357_UPPER_AERODIGESTIVE_TRACT
ACH-002029	SAS_UPPER_AERODIGESTIVE_TRACT
ACH-002315	[MERGED_TO_ACH-001227]UPCISCC090_UPPER_AERODIGESTIVE_TRACT

