cell_line	geneSet	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	cantype	comb	CCLE_name
ACH-000011	ENSG00000254951	-0.73327534425471	-1.80538129602875	0	0	BLCA	ENSG00000254951.ACH-000011	253J_URINARY_TRACT
ACH-000011	ENSG00000248429	-0.753332255410775	-1.82921507981398	0	0	BLCA	ENSG00000248429.ACH-000011	253J_URINARY_TRACT
ACH-000011	ENSG00000225511	-0.689486852560489	-1.69562916711569	0	0.000703102439514357	BLCA	ENSG00000225511.ACH-000011	253J_URINARY_TRACT
ACH-000011	ENSG00000253878	-0.693100587964718	-1.64085473665048	0	0.000843722927417229	BLCA	ENSG00000253878.ACH-000011	253J_URINARY_TRACT
ACH-000012	ENSG00000224666	-0.724429642816244	-1.61118381858321	0	0	LUAD	ENSG00000224666.ACH-000012	HCC827_LUNG
ACH-000012	ENSG00000225511	-0.687166382500116	-1.62408130806205	0	0	LUAD	ENSG00000225511.ACH-000012	HCC827_LUNG
ACH-000012	ENSG00000224818	-0.679533635291511	-1.64577075977514	0	0	LUAD	ENSG00000224818.ACH-000012	HCC827_LUNG
ACH-000012	ENSG00000248429	-0.714341856462169	-1.68015186090255	0	0	LUAD	ENSG00000248429.ACH-000012	HCC827_LUNG
ACH-000012	ENSG00000262445	-0.709231853163996	-1.69478694470766	0	0	LUAD	ENSG00000262445.ACH-000012	HCC827_LUNG
ACH-000012	ENSG00000253878	-0.708073581850495	-1.7041119512846	0	0	LUAD	ENSG00000253878.ACH-000012	HCC827_LUNG
ACH-000012	ENSG00000268355	-0.712213482589768	-1.71202562284767	0	0	LUAD	ENSG00000268355.ACH-000012	HCC827_LUNG
ACH-000012	ENSG00000204666	-0.725804672243569	-1.72563011155006	0	0	LUAD	ENSG00000204666.ACH-000012	HCC827_LUNG
ACH-000012	ENSG00000272081	-0.718365043798567	-1.73261564070533	0	0	LUAD	ENSG00000272081.ACH-000012	HCC827_LUNG
ACH-000012	ENSG00000263718	-0.719429272507091	-1.73943539374032	0	0	LUAD	ENSG00000263718.ACH-000012	HCC827_LUNG
ACH-000012	ENSG00000268812	-0.727965720527079	-1.74904409074037	0	0	LUAD	ENSG00000268812.ACH-000012	HCC827_LUNG
ACH-000012	ENSG00000246640	-0.741051733271563	-1.78606390412923	0	0	LUAD	ENSG00000246640.ACH-000012	HCC827_LUNG
ACH-000012	ENSG00000268460	-0.751102956136681	-1.79302228594098	0	0	LUAD	ENSG00000268460.ACH-000012	HCC827_LUNG
ACH-000012	ENSG00000234546	-0.662785224421255	-1.59515225789233	0	7.15228515510706e-05	LUAD	ENSG00000234546.ACH-000012	HCC827_LUNG
ACH-000012	ENSG00000237886	-0.648786329896751	-1.56660314235575	0	0.000133509322895332	LUAD	ENSG00000237886.ACH-000012	HCC827_LUNG
ACH-000012	ENSG00000255400	-0.662225427888976	-1.53615864301429	0	0.000312912475535934	LUAD	ENSG00000255400.ACH-000012	HCC827_LUNG
ACH-000013	ENSG00000237886	-0.743655184003748	-1.66661283246845	0	0	OV	ENSG00000237886.ACH-000013	ONCODG1_OVARY
ACH-000013	ENSG00000268355	-0.725968199370011	-1.69006647056888	0	0	OV	ENSG00000268355.ACH-000013	ONCODG1_OVARY
ACH-000013	ENSG00000253878	-0.724934520991996	-1.69259697033626	0	0	OV	ENSG00000253878.ACH-000013	ONCODG1_OVARY
ACH-000013	ENSG00000258602	-0.755312959904744	-1.7034532877551	0	0	OV	ENSG00000258602.ACH-000013	ONCODG1_OVARY
ACH-000013	ENSG00000246640	-0.727684075842723	-1.70820636235766	0	0	OV	ENSG00000246640.ACH-000013	ONCODG1_OVARY
ACH-000013	ENSG00000248100	-0.725400162241151	-1.70906870300069	0	0	OV	ENSG00000248100.ACH-000013	ONCODG1_OVARY
ACH-000013	ENSG00000268460	-0.740333626342858	-1.73891343931187	0	0	OV	ENSG00000268460.ACH-000013	ONCODG1_OVARY
ACH-000013	ENSG00000268812	-0.740295686679969	-1.74586749951553	0	0	OV	ENSG00000268812.ACH-000013	ONCODG1_OVARY
ACH-000013	ENSG00000272081	-0.765214549275615	-1.75336550098591	0	0	OV	ENSG00000272081.ACH-000013	ONCODG1_OVARY
ACH-000013	ENSG00000248429	-0.74882349911664	-1.76414467725058	0	0	OV	ENSG00000248429.ACH-000013	ONCODG1_OVARY
ACH-000013	ENSG00000234546	-0.857179435429287	-1.93091865430335	0	0	OV	ENSG00000234546.ACH-000013	ONCODG1_OVARY
ACH-000013	ENSG00000224818	-0.717635044331517	-1.54827011616009	0.00102669404412044	8.34836038202097e-05	OV	ENSG00000224818.ACH-000013	ONCODG1_OVARY
ACH-000014	ENSG00000225511	-0.718202958879737	-1.75672589682762	0	0	SKCM	ENSG00000225511.ACH-000014	HS294T_SKIN
ACH-000014	ENSG00000234546	-0.716864186532578	-1.77420969752089	0	0	SKCM	ENSG00000234546.ACH-000014	HS294T_SKIN
ACH-000014	ENSG00000182165	-0.708643829006711	-1.7866105286713	0	0	SKCM	ENSG00000182165.ACH-000014	HS294T_SKIN
ACH-000014	ENSG00000224666	-0.730970974927099	-1.80731138764607	0	0	SKCM	ENSG00000224666.ACH-000014	HS294T_SKIN
ACH-000014	ENSG00000224818	-0.770244814223112	-1.85535371115521	0	0	SKCM	ENSG00000224818.ACH-000014	HS294T_SKIN
ACH-000014	ENSG00000272081	-0.798006224104666	-1.9375050856145	0	0	SKCM	ENSG00000272081.ACH-000014	HS294T_SKIN
ACH-000017	ENSG00000224592	-0.728964013774683	-1.66067136792956	0	0	BRCA	ENSG00000224592.ACH-000017	SKBR3_BREAST
ACH-000017	ENSG00000246640	-0.677127520360979	-1.66280800494277	0	0	BRCA	ENSG00000246640.ACH-000017	SKBR3_BREAST
ACH-000017	ENSG00000268355	-0.678318679041194	-1.6652326483987	0	0	BRCA	ENSG00000268355.ACH-000017	SKBR3_BREAST
ACH-000017	ENSG00000225511	-0.6820554197532	-1.67271083474098	0	0	BRCA	ENSG00000225511.ACH-000017	SKBR3_BREAST
ACH-000017	ENSG00000234546	-0.69352708990481	-1.69698890783257	0	0	BRCA	ENSG00000234546.ACH-000017	SKBR3_BREAST
ACH-000017	ENSG00000224818	-0.702748777002872	-1.72066093128462	0	0	BRCA	ENSG00000224818.ACH-000017	SKBR3_BREAST
ACH-000017	ENSG00000248429	-0.657644246945756	-1.61413859971762	0	0.00011233705022443	BRCA	ENSG00000248429.ACH-000017	SKBR3_BREAST
ACH-000017	ENSG00000253878	-0.672347567794379	-1.64442972988671	0	0.000126379181502484	BRCA	ENSG00000253878.ACH-000017	SKBR3_BREAST
ACH-000017	ENSG00000268460	-0.709138170237131	-1.64775278726148	0	0.000144433350288553	BRCA	ENSG00000268460.ACH-000017	SKBR3_BREAST
ACH-000017	ENSG00000226965	-0.634609957590313	-1.55438576785942	0	0.000707723416413908	BRCA	ENSG00000226965.ACH-000017	SKBR3_BREAST
ACH-000018	ENSG00000225511	-0.668821971965336	-1.7652289397385	0	0	BLCA	ENSG00000225511.ACH-000018	T24_URINARY_TRACT
ACH-000018	ENSG00000248429	-0.731234569671878	-1.91710739161205	0	0	BLCA	ENSG00000248429.ACH-000018	T24_URINARY_TRACT
ACH-000018	ENSG00000254951	-0.727270269308968	-1.92548850327104	0	0	BLCA	ENSG00000254951.ACH-000018	T24_URINARY_TRACT
ACH-000018	ENSG00000268460	-0.716242000808888	-1.72503785338847	0	0.000733882804561364	BLCA	ENSG00000268460.ACH-000018	T24_URINARY_TRACT
ACH-000019	ENSG00000224592	-0.714604120423012	-1.72093895842834	0	0	BRCA	ENSG00000224592.ACH-000019	MCF7_BREAST
ACH-000019	ENSG00000253878	-0.641090374562023	-1.72700313809211	0	0	BRCA	ENSG00000253878.ACH-000019	MCF7_BREAST
ACH-000019	ENSG00000268355	-0.650986395179844	-1.7632781052516	0	0	BRCA	ENSG00000268355.ACH-000019	MCF7_BREAST
ACH-000019	ENSG00000246640	-0.652080366440215	-1.76563687986504	0	0	BRCA	ENSG00000246640.ACH-000019	MCF7_BREAST
ACH-000019	ENSG00000225511	-0.656830859070997	-1.77658311848186	0	0	BRCA	ENSG00000225511.ACH-000019	MCF7_BREAST
ACH-000019	ENSG00000268460	-0.706128174855786	-1.78281911753926	0	0	BRCA	ENSG00000268460.ACH-000019	MCF7_BREAST
ACH-000019	ENSG00000234546	-0.663858673305635	-1.79290124508662	0	0	BRCA	ENSG00000234546.ACH-000019	MCF7_BREAST
ACH-000019	ENSG00000224818	-0.678884974549294	-1.83507179962864	0	0	BRCA	ENSG00000224818.ACH-000019	MCF7_BREAST
ACH-000019	ENSG00000226965	-0.607313006356392	-1.64238411928716	0	0.00010107668644254	BRCA	ENSG00000226965.ACH-000019	MCF7_BREAST
ACH-000019	ENSG00000248429	-0.626977818916859	-1.69824898385118	0	0.0001123074293806	BRCA	ENSG00000248429.ACH-000019	MCF7_BREAST
ACH-000019	ENSG00000270605	-0.586318866414837	-1.57522427772073	0	0.000551327380595673	BRCA	ENSG00000270605.ACH-000019	MCF7_BREAST
