geneSet	enrichmentScore	normalizedEnrichmentScore	pValue	FDR	cell_line	cantype	comb
ENSG00000237886	-0.596023955866082	-1.82339760551483	0	0	BC3C_URINARY_TRACT	BLCA	ENSG00000237886.BC3C_URINARY_TRACT
ENSG00000225511	-0.631131362228217	-1.87470146012651	0	0	BC3C_URINARY_TRACT	BLCA	ENSG00000225511.BC3C_URINARY_TRACT
ENSG00000248429	-0.717733453474367	-2.09234999206861	0	0	BC3C_URINARY_TRACT	BLCA	ENSG00000248429.BC3C_URINARY_TRACT
ENSG00000254951	-0.733841364335938	-2.19156185205112	0	0	BC3C_URINARY_TRACT	BLCA	ENSG00000254951.BC3C_URINARY_TRACT
ENSG00000248429	-0.724741113002623	-2.09312623378146	0	0	CAL29_URINARY_TRACT	BLCA	ENSG00000248429.CAL29_URINARY_TRACT
ENSG00000254951	-0.733591379638117	-2.18816763434486	0	0	CAL29_URINARY_TRACT	BLCA	ENSG00000254951.CAL29_URINARY_TRACT
ENSG00000225511	-0.618137207922061	-1.83925605385893	0	0.000340392783672986	CAL29_URINARY_TRACT	BLCA	ENSG00000225511.CAL29_URINARY_TRACT
ENSG00000237886	-0.569043883251106	-1.74048258162426	0	0.000510589175509479	CAL29_URINARY_TRACT	BLCA	ENSG00000237886.CAL29_URINARY_TRACT
ENSG00000225511	-0.611653817160869	-1.99844700593141	0	0	HT1197_URINARY_TRACT	BLCA	ENSG00000225511.HT1197_URINARY_TRACT
ENSG00000237886	-0.606229635522695	-2.01638864565101	0	0	HT1197_URINARY_TRACT	BLCA	ENSG00000237886.HT1197_URINARY_TRACT
ENSG00000248429	-0.713714969531936	-2.26222676689303	0	0	HT1197_URINARY_TRACT	BLCA	ENSG00000248429.HT1197_URINARY_TRACT
ENSG00000254951	-0.70575971579055	-2.31810790604274	0	0	HT1197_URINARY_TRACT	BLCA	ENSG00000254951.HT1197_URINARY_TRACT
ENSG00000268460	-0.770635314551413	-1.79289769709607	0.00137174211060118	0.00061633281972265	HT1197_URINARY_TRACT	BLCA	ENSG00000268460.HT1197_URINARY_TRACT
ENSG00000237886	-0.62270809125308	-1.83255627650509	0	0	HT1376_URINARY_TRACT	BLCA	ENSG00000237886.HT1376_URINARY_TRACT
ENSG00000225511	-0.639972992575909	-1.84983626049436	0	0	HT1376_URINARY_TRACT	BLCA	ENSG00000225511.HT1376_URINARY_TRACT
ENSG00000248429	-0.727769226495668	-2.01249586281083	0	0	HT1376_URINARY_TRACT	BLCA	ENSG00000248429.HT1376_URINARY_TRACT
