logFC,ensid
ENSG00000124762,3.50664115,ENSG00000124762
ENSG00000179010,3.572809848,ENSG00000179010
ENSG00000159388,4.715853356,ENSG00000159388
ENSG00000130513,3.390839116,ENSG00000130513
ENSG00000278129,10.89974243,ENSG00000278129
ENSG00000164938,2.237919548,ENSG00000164938
ENSG00000120889,1.916885431,ENSG00000120889
ENSG00000135679,2.620828156,ENSG00000135679
ENSG00000080546,2.115579968,ENSG00000080546
ENSG00000168497,2.645088074,ENSG00000168497
ENSG00000161513,2.339887591,ENSG00000161513
ENSG00000196227,-3.090053665,ENSG00000196227
ENSG00000131080,1.873647663,ENSG00000131080
ENSG00000174307,1.46784018,ENSG00000174307
ENSG00000105327,2.435304675,ENSG00000105327
ENSG00000172667,1.41804304,ENSG00000172667
ENSG00000128422,3.536745803,ENSG00000128422
ENSG00000170836,1.535081594,ENSG00000170836
ENSG00000078237,1.523750099,ENSG00000078237
ENSG00000114439,-1.707545683,ENSG00000114439
ENSG00000130962,-2.203165069,ENSG00000130962
ENSG00000164125,1.899841011,ENSG00000164125
ENSG00000173846,1.56791925,ENSG00000173846
ENSG00000182752,1.19699276,ENSG00000182752
ENSG00000132274,1.389079472,ENSG00000132274
ENSG00000173535,3.974632586,ENSG00000173535
ENSG00000272772,7.735370778,ENSG00000272772
ENSG00000248429,2.838546387,ENSG00000248429
ENSG00000197852,1.663564078,ENSG00000197852
ENSG00000164070,1.881828405,ENSG00000164070
ENSG00000173530,1.149496193,ENSG00000173530
ENSG00000130766,1.236166732,ENSG00000130766
ENSG00000260912,2.113777829,ENSG00000260912
ENSG00000242265,-1.401288788,ENSG00000242265
ENSG00000181026,1.141221522,ENSG00000181026
ENSG00000167992,2.779379316,ENSG00000167992
ENSG00000255587,6.949961805,ENSG00000255587
ENSG00000162643,2.927456818,ENSG00000162643
ENSG00000234546,2.836165262,ENSG00000234546
ENSG00000109670,1.322525613,ENSG00000109670
ENSG00000170855,1.204081669,ENSG00000170855
ENSG00000250021,-2.830108688,ENSG00000250021
ENSG00000048392,1.149306025,ENSG00000048392
ENSG00000240731,-4.484982847,ENSG00000240731
ENSG00000152229,1.360718636,ENSG00000152229
ENSG00000277287,2.524127792,ENSG00000277287
ENSG00000129474,-1.251576004,ENSG00000129474
ENSG00000169429,1.487780205,ENSG00000169429
ENSG00000182504,-1.456582007,ENSG00000182504
ENSG00000006125,-0.966542029,ENSG00000006125
ENSG00000166592,3.332493489,ENSG00000166592
ENSG00000233695,2.160118131,ENSG00000233695
ENSG00000246130,6.627456622,ENSG00000246130
ENSG00000154767,0.956906279,ENSG00000154767
ENSG00000072952,-1.19085445,ENSG00000072952
ENSG00000147573,1.208775601,ENSG00000147573
ENSG00000186522,0.908656422,ENSG00000186522
ENSG00000134574,1.05198282,ENSG00000134574
ENSG00000261832,8.315555765,ENSG00000261832
ENSG00000189057,-1.149555364,ENSG00000189057
ENSG00000124222,-1.728581126,ENSG00000124222
ENSG00000141232,0.926338984,ENSG00000141232
ENSG00000165072,1.618441397,ENSG00000165072
ENSG00000076984,-1.12612114,ENSG00000076984
ENSG00000069020,1.21333745,ENSG00000069020
ENSG00000266680,1.778613497,ENSG00000266680
ENSG00000177034,1.332151808,ENSG00000177034
ENSG00000177595,1.321078196,ENSG00000177595
ENSG00000177076,1.792884141,ENSG00000177076
ENSG00000177822,-1.778397272,ENSG00000177822
ENSG00000170385,0.911259606,ENSG00000170385
ENSG00000196693,2.715418441,ENSG00000196693
ENSG00000119630,1.320808164,ENSG00000119630
ENSG00000104689,1.314035598,ENSG00000104689
ENSG00000175305,-1.293514571,ENSG00000175305
ENSG00000116514,1.045053788,ENSG00000116514
ENSG00000143217,3.272893828,ENSG00000143217
ENSG00000148175,0.806254868,ENSG00000148175
ENSG00000279624,2.468193699,ENSG00000279624
ENSG00000100292,0.956805924,ENSG00000100292
ENSG00000179152,1.106645553,ENSG00000179152
ENSG00000168621,1.053488497,ENSG00000168621
ENSG00000055163,1.441756916,ENSG00000055163
ENSG00000125965,1.345314448,ENSG00000125965
ENSG00000126861,3.59410928,ENSG00000126861
ENSG00000086666,0.927311403,ENSG00000086666
ENSG00000116017,0.934617399,ENSG00000116017
ENSG00000172031,-6.630797771,ENSG00000172031
ENSG00000076604,1.407523352,ENSG00000076604
ENSG00000181467,0.824332902,ENSG00000181467
ENSG00000160991,-2.749810751,ENSG00000160991
ENSG00000259436,6.522008908,ENSG00000259436
ENSG00000162772,1.964174782,ENSG00000162772
ENSG00000144567,0.877314393,ENSG00000144567
ENSG00000026103,1.887508339,ENSG00000026103
ENSG00000112245,0.905795041,ENSG00000112245
ENSG00000111540,-2.482880297,ENSG00000111540
ENSG00000267009,3.177281043,ENSG00000267009
ENSG00000185088,0.858098719,ENSG00000185088
ENSG00000172828,6.421234206,ENSG00000172828
ENSG00000225511,2.108226227,ENSG00000225511
ENSG00000250535,-6.06652597,ENSG00000250535
ENSG00000162783,0.793082175,ENSG00000162783
ENSG00000249773,6.051137831,ENSG00000249773
ENSG00000087088,0.781900506,ENSG00000087088
ENSG00000163071,1.259668942,ENSG00000163071
ENSG00000164237,0.865852179,ENSG00000164237
ENSG00000267216,-2.40955486,ENSG00000267216
ENSG00000142627,0.764230359,ENSG00000142627
ENSG00000184319,0.981447512,ENSG00000184319
ENSG00000156671,1.369839587,ENSG00000156671
ENSG00000276043,-0.716372931,ENSG00000276043
ENSG00000128342,1.206524357,ENSG00000128342
ENSG00000183943,0.905769935,ENSG00000183943
ENSG00000198932,3.42636379,ENSG00000198932
ENSG00000172738,1.693845202,ENSG00000172738
ENSG00000088832,1.699349932,ENSG00000088832
ENSG00000255730,4.153514586,ENSG00000255730
ENSG00000157693,1.053664635,ENSG00000157693
ENSG00000171552,0.744121205,ENSG00000171552
ENSG00000168918,3.588857509,ENSG00000168918
ENSG00000141682,0.864795113,ENSG00000141682
ENSG00000259529,1.197376054,ENSG00000259529
ENSG00000130684,0.902490817,ENSG00000130684
ENSG00000270136,-8.140735617,ENSG00000270136
ENSG00000183853,-1.124912379,ENSG00000183853
ENSG00000167676,5.798093956,ENSG00000167676
ENSG00000279267,1.385820382,ENSG00000279267
ENSG00000090776,0.931033862,ENSG00000090776
ENSG00000274810,3.912452566,ENSG00000274810
ENSG00000243554,2.909436426,ENSG00000243554
ENSG00000196576,0.713897438,ENSG00000196576
ENSG00000007968,-1.279067492,ENSG00000007968
ENSG00000224116,5.793103356,ENSG00000224116
ENSG00000077684,-0.966706168,ENSG00000077684
ENSG00000177788,-5.695752808,ENSG00000177788
ENSG00000137975,2.308389566,ENSG00000137975
ENSG00000138722,-2.785030373,ENSG00000138722
ENSG00000183597,-1.07492545,ENSG00000183597
ENSG00000278217,7.050743477,ENSG00000278217
ENSG00000198625,1.737733796,ENSG00000198625
ENSG00000108219,-0.770335446,ENSG00000108219
ENSG00000165244,-0.8469341,ENSG00000165244
ENSG00000186260,-1.528303519,ENSG00000186260
ENSG00000185641,0.92382097,ENSG00000185641
