logFC,ensid
ENSG00000124762,3.19735388643846,ENSG00000124762
ENSG00000130513,4.29493828123517,ENSG00000130513
ENSG00000159388,3.08523149133449,ENSG00000159388
ENSG00000164125,3.18483486570499,ENSG00000164125
ENSG00000135679,2.80642184303084,ENSG00000135679
ENSG00000267748,-11.324221014187,ENSG00000267748
ENSG00000164938,2.55726579258271,ENSG00000164938
ENSG00000280602,7.77453156312801,ENSG00000280602
ENSG00000186115,5.00461388228306,ENSG00000186115
ENSG00000166405,6.25630154193379,ENSG00000166405
ENSG00000143217,3.14611314513586,ENSG00000143217
ENSG00000189057,-2.62697871513245,ENSG00000189057
ENSG00000167676,3.87184227574608,ENSG00000167676
ENSG00000168918,1.93361966813274,ENSG00000168918
ENSG00000186994,5.4621586463943,ENSG00000186994
ENSG00000162643,3.37681181262301,ENSG00000162643
ENSG00000078900,4.74265032015679,ENSG00000078900
ENSG00000248429,2.71774765392915,ENSG00000248429
ENSG00000048392,1.90287357199103,ENSG00000048392
ENSG00000235513,4.94064470989991,ENSG00000235513
ENSG00000260912,3.22914041708328,ENSG00000260912
ENSG00000177595,2.36371885308517,ENSG00000177595
ENSG00000165244,-3.02142323348852,ENSG00000165244
ENSG00000251095,2.63532828826808,ENSG00000251095
ENSG00000213186,-4.34712473801334,ENSG00000213186
ENSG00000175305,-2.68527115745289,ENSG00000175305
ENSG00000173546,5.46879388396433,ENSG00000173546
ENSG00000040731,3.33760480213215,ENSG00000040731
ENSG00000177076,2.92793175575189,ENSG00000177076
ENSG00000111344,8.89020074080348,ENSG00000111344
ENSG00000179165,6.47605366899242,ENSG00000179165
ENSG00000119630,2.67774567492534,ENSG00000119630
ENSG00000236204,3.88699639408727,ENSG00000236204
ENSG00000274272,3.95386952682097,ENSG00000274272
ENSG00000205592,3.24143482321709,ENSG00000205592
ENSG00000259024,5.04996027993281,ENSG00000259024
ENSG00000055163,1.71525718215942,ENSG00000055163
ENSG00000172828,4.34243914327614,ENSG00000172828
ENSG00000128342,2.57552032983984,ENSG00000128342
ENSG00000131669,1.88086063995728,ENSG00000131669
ENSG00000258590,2.8152361209595,ENSG00000258590
ENSG00000171017,-3.30232423026493,ENSG00000171017
ENSG00000177551,3.8520848594551,ENSG00000177551
ENSG00000224294,5.6434908584698,ENSG00000224294
ENSG00000132274,1.78568925739608,ENSG00000132274
ENSG00000179023,5.53840819708254,ENSG00000179023
ENSG00000228526,2.48531989855812,ENSG00000228526
ENSG00000250337,8.68023850557333,ENSG00000250337
ENSG00000109321,1.48567973610485,ENSG00000109321
ENSG00000173530,1.62220831472307,ENSG00000173530
ENSG00000131080,2.10422736656406,ENSG00000131080
ENSG00000078237,1.61607444224936,ENSG00000078237
ENSG00000007968,-2.98468988158727,ENSG00000007968
ENSG00000226859,8.5788307552161,ENSG00000226859
ENSG00000148541,5.72438907652614,ENSG00000148541
ENSG00000135423,2.47384467773063,ENSG00000135423
ENSG00000149527,2.08500005076534,ENSG00000149527
ENSG00000197965,-1.85010903796939,ENSG00000197965
ENSG00000163564,4.15706845321891,ENSG00000163564
ENSG00000159788,1.97719143141451,ENSG00000159788
ENSG00000124920,4.32523393013472,ENSG00000124920
ENSG00000278626,3.41505221470335,ENSG00000278626
ENSG00000172667,1.40363106705706,ENSG00000172667
ENSG00000157873,2.77356073889653,ENSG00000157873
ENSG00000132517,3.61753494321801,ENSG00000132517
ENSG00000198857,8.08102464026823,ENSG00000198857
ENSG00000244509,1.47937843189525,ENSG00000244509
ENSG00000224389,2.99372772564405,ENSG00000224389
ENSG00000205488,4.59255687990488,ENSG00000205488
ENSG00000188015,1.91139954375568,ENSG00000188015
ENSG00000196208,2.41762023592447,ENSG00000196208
ENSG00000275620,4.62222152494286,ENSG00000275620
ENSG00000113368,-1.50360369757862,ENSG00000113368
ENSG00000161544,5.28456084247092,ENSG00000161544
ENSG00000151640,5.66730240348438,ENSG00000151640
ENSG00000118513,-3.52934085723705,ENSG00000118513
ENSG00000196734,4.12113523543648,ENSG00000196734
ENSG00000148400,1.37448109999136,ENSG00000148400
ENSG00000138271,1.40728759322785,ENSG00000138271
ENSG00000227128,7.91946198807427,ENSG00000227128
ENSG00000170835,2.71478451182556,ENSG00000170835
ENSG00000186226,3.42060410959498,ENSG00000186226
ENSG00000196743,1.31919217845091,ENSG00000196743
ENSG00000141579,3.41130886934973,ENSG00000141579
ENSG00000095585,5.14324041671414,ENSG00000095585
ENSG00000233695,3.05568121437106,ENSG00000233695
ENSG00000235098,2.88515139299323,ENSG00000235098
ENSG00000177106,1.34150647727522,ENSG00000177106
ENSG00000161513,1.85493988795987,ENSG00000161513
ENSG00000261659,2.45959198742921,ENSG00000261659
ENSG00000183072,2.51607537668295,ENSG00000183072
ENSG00000115008,1.2413523646241,ENSG00000115008
ENSG00000120889,1.22387974970409,ENSG00000120889
ENSG00000095970,3.61222657717016,ENSG00000095970
ENSG00000101098,4.24607222060525,ENSG00000101098
ENSG00000170855,1.52357245216114,ENSG00000170855
ENSG00000152229,1.7628221531356,ENSG00000152229
ENSG00000137501,2.41911555980903,ENSG00000137501
ENSG00000261804,2.79383527323777,ENSG00000261804
ENSG00000170734,1.42969661290241,ENSG00000170734
ENSG00000109654,-1.80651073944695,ENSG00000109654
ENSG00000243225,3.76653694770493,ENSG00000243225
ENSG00000244731,2.70334883702964,ENSG00000244731
ENSG00000176531,2.08564256432199,ENSG00000176531
ENSG00000237512,3.54633455773475,ENSG00000237512
ENSG00000246263,2.26824473042216,ENSG00000246263
ENSG00000092853,-1.64120703515301,ENSG00000092853
ENSG00000174371,-1.44811662961593,ENSG00000174371
ENSG00000144452,1.23569489428755,ENSG00000144452
ENSG00000262714,2.36187307253156,ENSG00000262714
ENSG00000164796,1.804253876292,ENSG00000164796
ENSG00000178947,3.22999061028173,ENSG00000178947
ENSG00000244694,2.13545473255093,ENSG00000244694
ENSG00000274835,4.23053435120586,ENSG00000274835
ENSG00000112029,-1.6191502050147,ENSG00000112029
ENSG00000197852,1.80474715402818,ENSG00000197852
ENSG00000029534,2.60286634550206,ENSG00000029534
ENSG00000197191,2.8048431076716,ENSG00000197191
ENSG00000143333,2.0525531774337,ENSG00000143333
ENSG00000049283,4.22295498736878,ENSG00000049283
ENSG00000169896,3.66175146178708,ENSG00000169896
ENSG00000089486,2.86034454930885,ENSG00000089486
ENSG00000143476,-1.35093276398621,ENSG00000143476
ENSG00000134574,1.61739651410414,ENSG00000134574
ENSG00000137216,1.34187188274687,ENSG00000137216
ENSG00000197993,7.44742996124108,ENSG00000197993
ENSG00000116299,2.12231740242916,ENSG00000116299
ENSG00000154767,1.24683337584332,ENSG00000154767
ENSG00000092470,-1.61765534812815,ENSG00000092470
ENSG00000221986,2.37554666088786,ENSG00000221986
ENSG00000080546,1.79625744497407,ENSG00000080546
ENSG00000162738,2.06093482215849,ENSG00000162738
ENSG00000087088,1.29387992554464,ENSG00000087088
ENSG00000101412,-1.87923314778213,ENSG00000101412
ENSG00000276043,-1.75032028681522,ENSG00000276043
ENSG00000186529,2.53670695826849,ENSG00000186529
ENSG00000196562,1.32635119768881,ENSG00000196562
ENSG00000167992,3.46956997504335,ENSG00000167992
ENSG00000135218,4.53583338697385,ENSG00000135218
ENSG00000178363,3.73773519956504,ENSG00000178363
ENSG00000130766,1.25217936782565,ENSG00000130766
ENSG00000181026,1.24827945307228,ENSG00000181026
ENSG00000173156,1.16962688730065,ENSG00000173156
ENSG00000010030,2.75899206852453,ENSG00000010030
ENSG00000069812,1.80703680709445,ENSG00000069812
ENSG00000184985,7.27205836513848,ENSG00000184985
ENSG00000125046,3.90099661122469,ENSG00000125046
ENSG00000198673,2.49837174472962,ENSG00000198673
ENSG00000145386,-1.16266346234298,ENSG00000145386
ENSG00000204993,3.68744226581795,ENSG00000204993
ENSG00000186517,3.17942463562091,ENSG00000186517
ENSG00000167196,1.24899052381721,ENSG00000167196
ENSG00000173535,2.48061912886823,ENSG00000173535
ENSG00000137807,-1.15854350250124,ENSG00000137807
ENSG00000125538,1.16499517370354,ENSG00000125538
