logFC,ensid
ENSG00000187730,9.97146881393418,ENSG00000187730
ENSG00000224807,8.40955892865704,ENSG00000224807
ENSG00000115129,5.16189123711861,ENSG00000115129
ENSG00000168918,7.94997247333835,ENSG00000168918
ENSG00000261150,5.80504622417495,ENSG00000261150
ENSG00000105650,6.25111524040799,ENSG00000105650
ENSG00000198753,4.92133355045322,ENSG00000198753
ENSG00000166592,7.06263419758043,ENSG00000166592
ENSG00000143217,6.8675537369543,ENSG00000143217
ENSG00000101000,6.48282223193375,ENSG00000101000
ENSG00000135679,4.17973202605097,ENSG00000135679
ENSG00000010282,11.317442369533,ENSG00000010282
ENSG00000251258,7.9815505757154,ENSG00000251258
ENSG00000186994,5.92494614862622,ENSG00000186994
ENSG00000069020,7.63774475785203,ENSG00000069020
ENSG00000148773,-7.70604372415319,ENSG00000148773
ENSG00000177595,3.89858245474388,ENSG00000177595
ENSG00000090776,3.76804197361656,ENSG00000090776
ENSG00000159388,3.67110809507548,ENSG00000159388
ENSG00000133193,3.75779820927173,ENSG00000133193
ENSG00000175793,3.88978559127641,ENSG00000175793
ENSG00000124257,5.05671549310043,ENSG00000124257
ENSG00000116014,6.05976819879901,ENSG00000116014
ENSG00000269466,6.8060648669297,ENSG00000269466
ENSG00000162490,7.85525931097614,ENSG00000162490
ENSG00000107099,7.79541369304356,ENSG00000107099
ENSG00000168824,7.85131967392763,ENSG00000168824
ENSG00000142609,9.13902292978072,ENSG00000142609
ENSG00000278246,6.25950660715359,ENSG00000278246
ENSG00000244607,6.18818961787628,ENSG00000244607
ENSG00000055163,3.90383716849789,ENSG00000055163
ENSG00000141753,4.14405232491524,ENSG00000141753
ENSG00000065320,6.51067677220421,ENSG00000065320
ENSG00000229978,7.52003185431304,ENSG00000229978
ENSG00000260596,8.61746658713142,ENSG00000260596
ENSG00000178821,4.71192584411876,ENSG00000178821
ENSG00000277862,7.54100662606445,ENSG00000277862
ENSG00000101057,-7.71106705894141,ENSG00000101057
ENSG00000122966,-7.23178105436474,ENSG00000122966
ENSG00000178184,4.22180264006592,ENSG00000178184
ENSG00000137975,12.4899682725287,ENSG00000137975
ENSG00000063660,3.53725383095784,ENSG00000063660
ENSG00000196562,5.50062929234141,ENSG00000196562
ENSG00000187017,5.86828043841306,ENSG00000187017
ENSG00000171094,10.2137359492047,ENSG00000171094
ENSG00000177106,3.16152016595807,ENSG00000177106
ENSG00000277196,4.83263299054762,ENSG00000277196
ENSG00000268799,7.27194423066294,ENSG00000268799
ENSG00000185974,7.01193083230267,ENSG00000185974
ENSG00000140525,-4.16786570726446,ENSG00000140525
ENSG00000157873,4.23519194501413,ENSG00000157873
ENSG00000273532,6.23670089852283,ENSG00000273532
ENSG00000180532,6.58229559583603,ENSG00000180532
ENSG00000144015,7.50786579290342,ENSG00000144015
ENSG00000143476,-6.78623386541746,ENSG00000143476
ENSG00000280267,7.35612272801632,ENSG00000280267
ENSG00000157765,7.11013767948558,ENSG00000157765
ENSG00000188883,9.88238572962811,ENSG00000188883
ENSG00000161513,3.00416385195172,ENSG00000161513
ENSG00000166025,6.85644846552954,ENSG00000166025
ENSG00000271984,5.64571346123722,ENSG00000271984
ENSG00000090889,-7.92682041830906,ENSG00000090889
ENSG00000257951,8.5490594831691,ENSG00000257951
ENSG00000229571,7.08860304086226,ENSG00000229571
ENSG00000185101,6.30091607957131,ENSG00000185101
ENSG00000163808,-7.17571267509058,ENSG00000163808
ENSG00000029534,4.33488860615897,ENSG00000029534
ENSG00000100979,2.81204326711505,ENSG00000100979
ENSG00000134690,-6.94468679469986,ENSG00000134690
ENSG00000189253,8.54102145745604,ENSG00000189253
ENSG00000144010,7.50797498674323,ENSG00000144010
ENSG00000204505,7.121014563092,ENSG00000204505
ENSG00000196589,6.75992881565942,ENSG00000196589
