logFC,ensid
ENSG00000159388,5.19916146446202,ENSG00000159388
ENSG00000273802,6.37147561308662,ENSG00000273802
ENSG00000185668,8.1832560252139,ENSG00000185668
ENSG00000130513,4.49692369883064,ENSG00000130513
ENSG00000168497,5.09250757736827,ENSG00000168497
ENSG00000105650,6.23947989375414,ENSG00000105650
ENSG00000261716,4.25106558890691,ENSG00000261716
ENSG00000184678,3.91750599107226,ENSG00000184678
ENSG00000163347,5.99087893151329,ENSG00000163347
ENSG00000180573,3.83679572700087,ENSG00000180573
ENSG00000172828,6.46013384318491,ENSG00000172828
ENSG00000162772,4.14302364409356,ENSG00000162772
ENSG00000125538,3.3047927173078,ENSG00000125538
ENSG00000158406,4.85073360938825,ENSG00000158406
ENSG00000277287,6.47053858643398,ENSG00000277287
ENSG00000135423,12.2665819447072,ENSG00000135423
ENSG00000161513,3.59447660146827,ENSG00000161513
ENSG00000164938,3.36510860123941,ENSG00000164938
ENSG00000176490,-6.74865675563074,ENSG00000176490
ENSG00000065320,5.05352120840012,ENSG00000065320
ENSG00000196787,4.75847585128211,ENSG00000196787
ENSG00000272468,5.85851465211047,ENSG00000272468
ENSG00000055163,3.31896023498393,ENSG00000055163
ENSG00000104892,5.83942987492776,ENSG00000104892
ENSG00000117152,-3.74435382701066,ENSG00000117152
ENSG00000161509,6.38166393715059,ENSG00000161509
ENSG00000168394,2.90980649896618,ENSG00000168394
ENSG00000080546,3.15341362863463,ENSG00000080546
ENSG00000175063,-3.35036095141531,ENSG00000175063
ENSG00000217275,6.49828480238511,ENSG00000217275
ENSG00000110900,3.7473532515741,ENSG00000110900
ENSG00000159251,-3.13042043874945,ENSG00000159251
ENSG00000124635,5.13408920423809,ENSG00000124635
ENSG00000258947,2.80552500187401,ENSG00000258947
ENSG00000258588,-11.6531089391965,ENSG00000258588
ENSG00000120889,2.77063009887858,ENSG00000120889
ENSG00000134057,-3.03656636027228,ENSG00000134057
ENSG00000260912,5.00733879349465,ENSG00000260912
ENSG00000180776,-3.49642346951759,ENSG00000180776
ENSG00000158055,5.93514607537528,ENSG00000158055
ENSG00000088836,4.35464153475863,ENSG00000088836
ENSG00000224592,11.051799152839,ENSG00000224592
ENSG00000104689,3.6188318425137,ENSG00000104689
ENSG00000117399,-3.03348107994682,ENSG00000117399
ENSG00000134762,10.9712680280829,ENSG00000134762
ENSG00000107099,10.9747109291422,ENSG00000107099
ENSG00000142619,6.70438754503486,ENSG00000142619
ENSG00000162643,5.0015382678512,ENSG00000162643
ENSG00000171492,-4.73844679836092,ENSG00000171492
ENSG00000166851,-3.26253164065692,ENSG00000166851
ENSG00000270882,3.93467681426923,ENSG00000270882
ENSG00000144452,10.8774128509017,ENSG00000144452
