logFC,ensid
ENSG00000112984,-5.1684510663688,ENSG00000112984
ENSG00000161800,-4.69191317171377,ENSG00000161800
ENSG00000174371,-13.312139240548,ENSG00000174371
ENSG00000124762,4.10198546022084,ENSG00000124762
ENSG00000130513,3.83288025317241,ENSG00000130513
ENSG00000068489,-4.61236302752146,ENSG00000068489
ENSG00000171848,-3.81992979972533,ENSG00000171848
ENSG00000124067,3.80064480910532,ENSG00000124067
ENSG00000092470,-13.0066707157531,ENSG00000092470
ENSG00000088325,-4.07844322645747,ENSG00000088325
ENSG00000076382,-3.56759163299738,ENSG00000076382
ENSG00000160991,3.76784733296195,ENSG00000160991
ENSG00000035499,-12.7798792387441,ENSG00000035499
ENSG00000165244,-12.773116882264,ENSG00000165244
ENSG00000071539,-3.12540431219994,ENSG00000071539
ENSG00000145386,-8.57401619118384,ENSG00000145386
ENSG00000164104,-3.89692374760984,ENSG00000164104
ENSG00000157456,-3.89398015427119,ENSG00000157456
ENSG00000140534,-3.78900882763599,ENSG00000140534
ENSG00000175592,4.09816927456212,ENSG00000175592
ENSG00000122966,-3.47600703611546,ENSG00000122966
ENSG00000168078,-12.4575655599466,ENSG00000168078
ENSG00000198901,-3.79766146984212,ENSG00000198901
ENSG00000123384,2.93655176783663,ENSG00000123384
ENSG00000121152,-4.17427214576121,ENSG00000121152
ENSG00000012048,-12.7383770570545,ENSG00000012048
ENSG00000112118,-2.8393640043928,ENSG00000112118
ENSG00000140525,-4.97847190436681,ENSG00000140525
ENSG00000113368,-3.3810508947537,ENSG00000113368
ENSG00000105327,3.27917486041499,ENSG00000105327
ENSG00000148773,-4.27621529433695,ENSG00000148773
ENSG00000115129,2.67831201164342,ENSG00000115129
ENSG00000117632,-2.98820519251732,ENSG00000117632
ENSG00000100714,-2.97024375846734,ENSG00000100714
ENSG00000080986,-12.5408095559214,ENSG00000080986
ENSG00000063046,-2.82428533806873,ENSG00000063046
ENSG00000122126,-3.38841161756597,ENSG00000122126
ENSG00000131269,-12.3708020265936,ENSG00000131269
ENSG00000101849,-2.69082940536376,ENSG00000101849
ENSG00000128050,-2.85263127783779,ENSG00000128050
ENSG00000155561,-3.1936210483762,ENSG00000155561
ENSG00000121957,-4.79877754285272,ENSG00000121957
ENSG00000117593,-3.05977162940699,ENSG00000117593
ENSG00000076003,-4.20942093250076,ENSG00000076003
ENSG00000087586,-3.45229467269381,ENSG00000087586
ENSG00000136450,-2.56675048358328,ENSG00000136450
ENSG00000011426,-4.20955433225446,ENSG00000011426
ENSG00000276043,-2.76494286245474,ENSG00000276043
ENSG00000165304,-4.99050733900559,ENSG00000165304
ENSG00000161513,2.63547099670009,ENSG00000161513
ENSG00000168411,-2.64660750213337,ENSG00000168411
ENSG00000123485,-5.35999757100156,ENSG00000123485
ENSG00000159388,2.55272504397086,ENSG00000159388
ENSG00000053108,2.84282462531481,ENSG00000053108
ENSG00000142945,-3.40597967927343,ENSG00000142945
ENSG00000137807,-4.27938570303084,ENSG00000137807
ENSG00000165272,2.39030625434441,ENSG00000165272
ENSG00000144381,-2.9034490843781,ENSG00000144381
ENSG00000182481,-2.57720914578198,ENSG00000182481
ENSG00000107796,3.4733424924216,ENSG00000107796
ENSG00000136861,-2.99341661952471,ENSG00000136861
ENSG00000134057,-2.49683195560968,ENSG00000134057
ENSG00000065328,-3.83353105533362,ENSG00000065328
ENSG00000134001,-2.73445428726342,ENSG00000134001
ENSG00000104738,-2.71428710156144,ENSG00000104738
ENSG00000175305,-11.9470154339848,ENSG00000175305
ENSG00000153560,-2.87949492937127,ENSG00000153560
ENSG00000162688,-12.0562895445692,ENSG00000162688
