lncRNA,num_chipseq
ENSG00000124915,6
ENSG00000136275,5
ENSG00000149656,5
ENSG00000163009,5
ENSG00000163597,12
ENSG00000163915,14
ENSG00000164621,5
ENSG00000166917,10
ENSG00000176753,5
ENSG00000176840,5
ENSG00000176912,11
ENSG00000177337,5
ENSG00000177640,5
ENSG00000177725,6
ENSG00000178107,6
ENSG00000178977,5
ENSG00000180422,7
ENSG00000182165,8
ENSG00000182366,7
ENSG00000183674,8
ENSG00000184068,5
ENSG00000184608,5
ENSG00000185168,9
ENSG00000186235,6
ENSG00000187013,11
ENSG00000188365,8
ENSG00000188660,6
ENSG00000196096,5
ENSG00000196979,10
ENSG00000197934,13
ENSG00000197989,7
ENSG00000198788,6
ENSG00000203325,6
ENSG00000203334,14
ENSG00000203469,5
ENSG00000203593,16
ENSG00000203876,8
ENSG00000204055,5
ENSG00000204380,6
ENSG00000204666,12
ENSG00000204929,6
ENSG00000205334,12
ENSG00000205537,8
ENSG00000205562,7
ENSG00000205664,5
ENSG00000206028,5
ENSG00000206337,8
ENSG00000206573,5
ENSG00000214145,6
ENSG00000214650,5
ENSG00000218537,5
ENSG00000222005,5
ENSG00000222043,6
ENSG00000223432,12
ENSG00000223475,12
ENSG00000223528,7
ENSG00000223548,6
ENSG00000223649,7
ENSG00000223660,5
ENSG00000223797,6
ENSG00000223817,9
ENSG00000223855,6
ENSG00000223883,17
ENSG00000223914,10
ENSG00000223960,5
ENSG00000224095,9
ENSG00000224281,5
ENSG00000224294,12
ENSG00000224525,8
ENSG00000224592,8
ENSG00000224621,12
ENSG00000224638,6
ENSG00000224652,6
ENSG00000224666,7
ENSG00000224711,8
ENSG00000224789,7
ENSG00000224795,5
ENSG00000224818,14
ENSG00000225000,17
ENSG00000225057,6
ENSG00000225075,11
ENSG00000225144,9
ENSG00000225177,5
ENSG00000225195,9
ENSG00000225208,8
ENSG00000225407,14
ENSG00000225411,7
ENSG00000225420,15
ENSG00000225465,10
ENSG00000225511,16
ENSG00000225539,6
ENSG00000225559,15
ENSG00000225563,7
ENSG00000225637,5
ENSG00000225764,9
ENSG00000225836,8
ENSG00000225877,9
ENSG00000225905,6
ENSG00000225919,5
ENSG00000226017,8
ENSG00000226047,5
ENSG00000226169,9
ENSG00000226200,5
ENSG00000226308,8
ENSG00000226332,6
ENSG00000226454,5
ENSG00000226520,5
ENSG00000226629,5
ENSG00000226648,6
ENSG00000226659,5
ENSG00000226797,5
ENSG00000226859,15
ENSG00000226891,6
ENSG00000226956,13
ENSG00000226965,15
ENSG00000227029,11
ENSG00000227047,5
ENSG00000227076,6
ENSG00000227090,7
ENSG00000227128,14
ENSG00000227175,5
ENSG00000227308,14
ENSG00000227359,8
ENSG00000227431,5
ENSG00000227484,12
ENSG00000227512,14
ENSG00000227589,5
ENSG00000227606,13
ENSG00000227630,6
ENSG00000227680,9
ENSG00000227811,7
ENSG00000227838,9
ENSG00000227959,12
ENSG00000228027,7
ENSG00000228106,12
ENSG00000228109,5
ENSG00000228162,8
ENSG00000228176,13
ENSG00000228221,5
ENSG00000228231,5
ENSG00000228309,13
ENSG00000228355,8
ENSG00000228363,13
ENSG00000228420,5
ENSG00000228478,8
ENSG00000228528,12
ENSG00000228554,5
ENSG00000228649,8
ENSG00000228675,5
ENSG00000228680,5
ENSG00000228709,7
ENSG00000228737,5
ENSG00000228775,5
ENSG00000228791,9
ENSG00000228843,8
ENSG00000228917,7
ENSG00000228951,5
ENSG00000229021,7
