Hallmark_Name	Process_Category
1	APICAL_JUNCTION	cellular component
2	APICAL_SURFACE	cellular component
3	PEROXISOME	cellular component
4	ADIPOGENESIS	development
5	ANGIOGENESIS	development
6	EPITHELIAL_MESENCHYMAL_TRANSITION	development
7	MYOGENESIS	development
8	SPERMATOGENESIS	development
9	PANCREAS_BETA_CELL	development
10	DNA_REPAIR	DNA damage
11	UV_RESPONSE_DN	DNA damage
12	UV_RESPONSE_UP	DNA damage
13	ALLOGRAFT_REJECTION	immune
14	COAGULATION	immune
15	COMPLEMENT	immune
16	INTERFERON_ALPHA_RESPONSE	immune
17	INTERFERON_GAMMA_RESPONSE	immune
18	IL6_JAK_STAT3_SIGNALING	immune
19	INFLAMMATORY_RESPONSE	immune
20	BILE_ACID_METABOLISM	metabolic
21	CHOLESTEROL_HOMEOSTASIS	metabolic
22	FATTY_ACID_METABOLISM	metabolic
23	GLYCOLYSIS	metabolic
24	HEME_METABOLISM	metabolic
25	OXIDATIVE_PHOSPHORYLATION	metabolic
26	XENOBIOTIC_METABOLISM	metabolic
27	APOPTOSIS	pathway
28	HYPOXIA	pathway
29	PROTEIN_SECRETION	pathway
30	UNFOLDED_PROTEIN_RESPONSE	pathway
31	REACTIVE_OXIGEN_SPECIES_PATHWAY	pathway
32	E2F_TARGETS	proliferation
33	G2M_CHECKPOINT	proliferation
34	MYC_TARGETS_V1	proliferation
35	MYC_TARGETS_V2	proliferation
36	P53_PATHWAY	proliferation
37	MITOTIC_SPINDLE	proliferation
38	ANDROGEN_RESPONSE	signaling
39	ESTROGEN_RESPONSE_EARLY	signaling
40	ESTROGEN_RESPONSE_LATE	signaling
41	IL2_JAK_STAT5_SIGNALING	signaling
42	KRAS_SIGNALING_UP	signaling
43	KRAS_SIGNALING_DN	signaling
44	MTORC1_SIGNALING	signaling
45	NOTCH_SIGNALING	signaling
46	PI3K_AKT_MTOR_SIGNALING	signaling
47	HEDGEHOG_SIGNALING	signaling
48	TGF_BETA_SIGNALING	signaling
49	TNFA_SIGNALING_VIA_NFKB	signaling
50	WNT_BETA_CATENIN_SIGNALING	signaling
